날짜,호선,역명,구분,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2024-02-11,2호선,잠실(송파구청),하차,489,604,1139,2782,3174,3618,4314,4421,4154,4349,4359,3636,2900,2283,1731,1808,1436,838
2024-02-11,8호선,잠실(송파구청),승차,70,59,104,139,149,247,395,540,731,1088,1355,1248,1285,1089,1096,1067,806,297
2024-02-11,8호선,잠실(송파구청),하차,148,172,348,584,803,1092,1369,1353,1401,1344,1214,1026,837,491,321,212,126,68
2024-02-12,2호선,잠실(송파구청),승차,387,518,897,1239,1618,2004,2630,2994,3427,4196,4821,5207,4877,4523,5895,4601,2148,654
2024-02-12,2호선,잠실(송파구청),하차,485,793,1833,3693,3570,4022,4081,4054,3798,4110,3881,3668,3115,2402,2230,1975,1465,970
2024-02-12,8호선,잠실(송파구청),승차,68,60,118,168,202,326,424,609,867,1181,1287,1402,1360,1071,1153,1106,699,225
2024-02-12,8호선,잠실(송파구청),하차,153,216,580,813,985,1319,1421,1441,1404,1296,1106,936,735,436,321,226,140,89
2024-02-13,2호선,잠실(송파구청),승차,2150,5173,7097,4469,2633,2521,2837,3229,3509,4056,4789,6130,8876,5988,6393,4596,2586,928
2024-02-13,2호선,잠실(송파구청),하차,1120,3023,7596,6741,4643,4130,3539,3446,3341,3914,4200,5873,8867,6452,3682,3071,2705,1224
2024-02-13,8호선,잠실(송파구청),승차,183,382,502,346,351,490,514,732,826,1132,1298,1772,2874,1646,1370,1145,819,222
2024-02-13,8호선,잠실(송파구청),하차,430,1255,3477,1935,1176,1156,1121,977,936,1036,939,1179,1604,771,444,246,209,101
2024-02-14,2호선,잠실(송파구청),승차,2189,5383,7726,5124,2989,3023,3145,3614,3576,4008,4796,7501,9442,6648,6744,5627,3438,1213
2024-02-14,2호선,잠실(송파구청),하차,1213,3548,8059,7295,4642,4010,3696,4115,3954,3938,4556,6794,10653,6679,4030,3458,3262,1617
2024-02-14,8호선,잠실(송파구청),승차,164,395,552,379,355,484,585,692,834,1166,1253,1956,3065,1676,1568,1411,982,351
2024-02-14,8호선,잠실(송파구청),하차,431,1541,3853,2095,1213,1097,1043,1029,950,907,1003,1458,1955,896,510,355,246,124
2024-02-15,2호선,잠실(송파구청),승차,2158,5385,7443,4903,3113,2829,2877,3146,3348,4017,4729,6775,9092,6131,6235,5246,3458,1038
2024-02-15,2호선,잠실(송파구청),하차,1205,3367,7779,7337,4587,4091,3423,3337,3445,3832,4536,6684,9437,6392,3936,3525,3115,1596
2024-02-15,8호선,잠실(송파구청),승차,180,412,540,453,361,499,619,709,863,1149,1267,1887,3000,1571,1473,1425,884,337
2024-02-15,8호선,잠실(송파구청),하차,453,1427,3797,2125,1269,1160,1124,1000,974,966,988,1295,1677,782,473,316,269,166
2024-02-16,2호선,잠실(송파구청),승차,1991,5441,7163,4846,3235,3248,3505,3632,4188,4986,6191,7755,9748,6762,6279,5913,5108,1506
2024-02-16,2호선,잠실(송파구청),하차,1191,3266,7593,7293,5145,4126,4335,4263,4108,4735,5451,7559,10780,7185,3946,3617,3344,2230
