date,weather_code,precipitation_sum,snowfall_sum,weather_category,weather_label,weather_label_ko
2025-04-01,0,0.0,0.0,clear,Clear,맑음
2025-04-02,51,0.7,0.0,precipitation,Precipitation,비/눈
2025-04-03,2,0.0,0.0,cloudy,Cloudy,흐림
2025-04-04,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-05,63,13.9,0.0,precipitation,Precipitation,비/눈
2025-04-06,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-07,1,0.0,0.0,clear,Clear,맑음
2025-04-08,2,0.0,0.0,cloudy,Cloudy,흐림
2025-04-09,53,1.2,0.0,precipitation,Precipitation,비/눈
2025-04-10,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-11,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-12,75,15.0,2.24,precipitation,Precipitation,비/눈
2025-04-13,75,7.4,3.29,precipitation,Precipitation,비/눈
2025-04-14,75,11.9,3.64,precipitation,Precipitation,비/눈
2025-04-15,2,0.0,0.0,cloudy,Cloudy,흐림
2025-04-16,63,4.5,0.0,precipitation,Precipitation,비/눈
2025-04-17,51,0.6,0.0,precipitation,Precipitation,비/눈
2025-04-18,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-19,65,27.6,0.0,precipitation,Precipitation,비/눈
2025-04-20,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-21,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-22,63,24.6,0.0,precipitation,Precipitation,비/눈
2025-04-23,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-24,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-25,1,0.0,0.0,clear,Clear,맑음
2025-04-26,1,0.0,0.0,clear,Clear,맑음
2025-04-27,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-28,3,0.0,0.0,cloudy,Cloudy,흐림
2025-04-29,1,0.0,0.0,clear,Clear,맑음
2025-04-30,3,0.0,0.0,cloudy,Cloudy,흐림
2025-05-01,63,21.3,0.0,precipitation,Precipitation,비/눈
2025-05-02,51,0.1,0.0,precipitation,Precipitation,비/눈
2025-05-03,61,8.6,0.0,precipitation,Precipitation,비/눈
2025-05-04,1,0.0,0.0,clear,Clear,맑음
2025-05-05,51,0.4,0.0,precipitation,Precipitation,비/눈
2025-05-06,3,0.0,0.0,cloudy,Cloudy,흐림
2025-05-07,51,0.1,0.0,precipitation,Precipitation,비/눈
2025-05-08,3,0.0,0.0,cloudy,Cloudy,흐림
2025-05-09,65,28.2,0.0,precipitation,Precipitation,비/눈
2025-05-10,55,6.2,0.0,precipitation,Precipitation,비/눈
2025-05-11,3,0.0,0.0,cloudy,Cloudy,흐림
2025-05-12,0,0.0,0.0,clear,Clear,맑음
2025-05-13,3,0.0,0.0,cloudy,Cloudy,흐림
2025-05-14,51,0.2,0.0,precipitation,Precipitation,비/눈
2025-05-15,55,4.8,0.0,precipitation,Precipitation,비/눈
2025-05-16,63,20.6,0.0,precipitation,Precipitation,비/눈
2025-05-17,61,2.6,0.0,precipitation,Precipitation,비/눈
2025-05-18,3,0.0,0.0,cloudy,Cloudy,흐림
2025-05-19,51,0.2,0.0,precipitation,Precipitation,비/눈
2025-05-20,51,0.3,0.0,precipitation,Precipitation,비/눈
2025-05-21,51,0.2,0.0,precipitation,Precipitation,비/눈
2025-05-22,53,0.7,0.0,precipitation,Precipitation,비/눈
2025-05-23,55,1.3,0.0,precipitation,Precipitation,비/눈
